Razón Social,Domicilio,Província,Localidad,,Teléfono,"N°
Certificado",Vencimiento
MOVIL GAS S.A.,AV DEL,Ciudad,Ciudad,Ciudad,4918-4005,LCG-,02/11/2024
GASPETRO S.A.,"LAS
PALMAS 2883",Ciudad ,Ciudad Autónoma de,Ciudad Autónoma de,49185005/5062,72387,03/02/2025
CENTRO MOTOR GAS S.R.L.,AV SAN JUAN 3876,Ciudad ,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,4932-5895/ 4932-1048,QC GAS 8216,18/05/2026
"SOLAMA S.
R. L.",JOSE E. RODO 3958,Ciudad ,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,4636-0092/4671-8850,QC GAS 7791,16/03/2025
ARLUP INGENIERIA S.A.S.,RAFAEL BIANCHI,Córdoba,Arroyito,Arroyito,3576-463073,HIT- PEC-,02/05/2026
"GNC CORTINEZ DE ITURRA
PARRA","RUTA 14
S/N COMUNA
ARROYO",Córdoba,Arroyo Los Patos,Arroyo Los Patos,03544-432071,HIT- PEC- 0810124,07/12/2025
GNC BELL VILLE DE SARGIOTTO CARLOS EZEQUIEL,BV. ASCASUBI,Córdoba,Bell Ville,Bell Ville,03537-428324,HIT- PEC-,15/12/2024
CAR GNC GAS DE SANCHEZ MATIAS EZEQUIEL,ONCATIVO 1958,Córdoba,Córdoba,Córdoba,0351-4530496,HIT- PEC-,16/11/2024
GENESIS GNC S.A.,MANUEL,Córdoba,Córdoba,Córdoba,0351-4717334,LCG-519,14/09/2024
SERVINCOR DE ANGEL MARIA CECILIA,AV.,Córdoba,Córdoba,Córdoba,0351-4657722,LCG-532,30/09/2024
ADVAN S.A.,OCTAVIO,Córdoba,Córdoba,Córdoba,0351-,HIT-,06/08/2024
"BIANCARDI, ORESTE",LAVALLEJA,Córdoba,Córdoba,Córdoba,03514732643,LCG-854,21/12/2025
MOTORSISTEMA S.R.L.  ,ANTONIO,Córdoba,Córdoba,Córdoba,0351-5892810/2811,HIT-,06/06/2025
INJEC COR S.R.L. ,BV. LOS GRANADEROS,Córdoba,Córdoba,Córdoba,"(0351) 4720087 Y
4740456",HIT- PEC-,28/02/2025
GRUPO P5 S.R.L.,AV.,Córdoba,Córdoba,Córdoba,0351-4666777,HIT-,11/11/2025
MEGATECNOLOGIA S.A.,NICOLAS,Córdoba,Córdoba,Córdoba,0351-471-1396,QC GAS,19/08/2024
SANCHEZ RIERA SRL,BV.,Córdoba,Córdoba,Córdoba,0351-4347324,HIT-,09/09/2025
CELINA DEL CARMEN,CORNELIO,Córdoba,Córdoba,Córdoba,0351-4771098,HIT-,18/06/2025
HERNANDO BONARDI E HIJOS S.R.L,ROBIN,Córdoba,Córdoba,Córdoba,0351-487-7899/488-,72601,21/04/2025
LIDER S.R.L.,JULIO A.,Córdoba,Córdoba,Córdoba,0351-,QC GAS,21/03/2026
GRUPO JCR PRODUCTOS Y  SERVICIOS S.A.,ATURO CAPDEVILA 1651,Córdoba,Córdoba,Córdoba,0351-4791907/1948,HIT- PEC- 0810038,06/06/2026
JUAN EDGARDO QUIROGA,CARLOS,Córdoba,Córdoba,Córdoba,0351-4772298,QC GAS,19/01/2025
TUBO JET DE VALENTÍN BASEL,AV.,Córdoba,Córdoba,Córdoba,0351-4745097,HIT-,15/04/2025
SORVICOR S.R.L.,ALEJANDRO,Córdoba,Córdoba,Córdoba,0351-451-7102,DC-G-,22/07/2024
LANDESA S.A.,BERNARDO DE IRIGOYEN 841,Córdoba,Córdoba,Córdoba,0351-455-8585,LCG-737,23/08/2025
ROMAR S.A.,SARMIENTO 16,Córdoba,Cruz del Eje,Cruz del Eje,"3,516,378,843",HIT- PEC- 0810112,07/09/2025
UNIVERSO S.R.L.,RUTA 38 KM.122,Córdoba,Cruz del Eje,Cruz del Eje,03549-424806,HIT- PEC- 0810107,05/02/2025
TUBOJET S.R.L.,CAMINO,Córdoba,Mi,Mi Granja,,HIT-,18/09/2025
PANDBORD S.A.,AV. GODOY,Córdoba,Río,Río Cuarto,0358-4651201,72481,08/03/2025
QUATRO GNC S.R.L.,COMISARIO MEDINA 674 - OF. 1,Córdoba,Río Cuarto,Río Cuarto,0358-4648267,QC GAS 7825,20/04/2025
INPROGNC S.R.L.,SAN MARTIN 2040,Córdoba,Río Cuarto,Río Cuarto,(0358) 155039201,HIT- PEC- 0810081,07/02/2025
INDUS FER DE ALBERTO ENRIQUE CABO,AV. GRAL. SAVIO 1097,Córdoba,Río Tercero,Río Tercero,03571-42-2032,HIT- PEC- 0810086,01/11/2025
GNC PORTON DE PIEDRA S.A.,AV. EVA,Córdoba,Saldán,Saldán,03543-495404 /,HIT-,01/12/2025
HIDROCIL S.A.S.,HUMBOLDT,Córdoba,Villa,Villa Carlos Paz,0351-,HIT-,15/06/2025
"QUIR GROUP
S.R.L. ",AV. SAN,Córdoba,Villa,Villa Dolores,0351-154039823,QC GAS,19/01/2025
CBA PEC DE DIEGO DALCONZO,"LEANDRO
N. ALEM 965",Córdoba,Villa María,Villa María,"3,534,522,911",HIT- PEC- 0810099,15/08/2025
INGENIERIA EN GNC DE NADIA PATRICIA FROSSASCO,MARCOS JUAREZ,Córdoba,Villa Nueva,Villa Nueva,0353-4913143,LCG-804,10/11/2025
AURELIO WEIGANDT GNC S.A.S.,SAN MARTÁ?N 1306,Entre ,Colón,Colón,03447-424909,LCG-503,09/08/2024
TG METANO S.A.,J. J.,Entre,Concepción,Concepción del Uruguay,03442-44-2345,LCG-846,15/12/2025
VISA GNC DE RUBEN D. VILLARUEL,BOULEVARD RACEDO 734,Entre ,Paraná,Paraná,0343-4220635,BVA/AT/0290- 23,15/09/2025
"EDGARDO JESUS YAÁ‘EZ
(PRODUGAS GNC)",AV. LA,Jujuy,Perico,Perico,3885826363,QC GAS,06/02/2026
REVCIL JUJUY DE JORGE RUBEN BAREA,PASAJE MEDINA 135,Jujuy,San Salvador de,San Salvador de Jujuy,0388-425-7641,BVA/AT/0156- 24,15/05/2026
"VALDIVIEZO, LILA FERNANDA",SAN,Jujuy,San,San Salvador de Jujuy,(0388) 4231180,HIT-,06/03/2025
ARMELLA CESAR DANIEL,EMILIO,Jujuy,San,San Salvador de Jujuy,0388-154371002,HIT-,01/04/2025
PETROGAS SANTA ROSA S.R.L.,JOSE,La,Santa,Santa Rosa ,02954-773655,73742,29/04/2026
SUILAR,TALCAHUANO,La,La,La Rioja ,0380-446-0882/446-,HIT-,02/11/2025
RUBEN GUILLERMO CENCI,CNEL,Mendoza,Ciudad,Ciudad de San Martín,02623-434283,LCG-933,24/04/2026
MABANA DISTRIBUCIONES DEL OESTE,AV. LIMA,Mendoza,Ciudad,Ciudad de San Martín,0263-4775842,HIT-,03/12/2025
ESI GNC DE VICTOR DERLICH,MARIANO,Mendoza,Ciudad,Ciudad de San Rafael,02604-430405,BVA/AT/0153-,15/05/2026
TRIAL GNC SH ,BARCALA,Mendoza,Ciudad,Ciudad de San Rafael,0260-444-6288,LCG-852,29/12/2025
CENTRO CERVANTES GAS S.A.,CALLE,Mendoza,Godoy,Godoy,0261-4524924,LCG-954,24/05/2026
ESI GAS S.A.  ,PERITO,Mendoza,Godoy,Godoy,0261-424-7923/,BVA/AT/0151-,15/05/2026
TRANTOR S.A. ,PASCUAL,Mendoza,Guaymallén,Guaymallén,0261-4459000,HIT-,20/10/2024
ESTACION DE SERVICIO JOCOLI S.R.L.,PEDRO SEGURA 1600,Mendoza,Las Heras,Las Heras,0261-4373355,BVA/AT/0001- 24,15/01/2026
JOSE DAVID FURFARO OLIVERO,BANDERA,Mendoza,San,San José Villa,0261-155085890,HIT-,17/04/2025
"OLIVERO RODRIGUEZ
S.A.",AVELLANEDA,Mendoza,Villa,Villa Nueva,0261-,72750,02/06/2025
GRUPO ARQUEN SRL,SOLDADO,Neuquén,Neuquén,Neuquén,0299-4478588,LCG-608,05/01/2025
GNC SUR VIEDMA DE BUTVILOVSKY CARLOS ALFONSO,BALBIN 563,Río Negro,Viedma,Viedma,02920-426329,HIT- PEC- 0810105,30/01/2026
EL MUNDO DEL GNC S.R.L.,SAN JUAN 1338,Salta,Salta,Salta,0387-4227387,HIT- PEC- 0810100,14/08/2025
"JOTHA GNC INYECCIÁ“N DE THAMES CANTOLLA, JOSÁ%» LUIS",GRAL. PAZ 751,Salta,Salta,Salta,(0387) 243 1125,HIT- PEC- 0810115,07/03/2026
NORPEC S.R.L. ,INDEPENDENCIA 49,Salta,Salta,Salta,0387-4262476,HIT- PEC-,21/05/2026
GNC SALTA DE MARCELO J. DE BRITOS,CORRIENTES 1693,Salta,Salta,Salta,0387-4960914,BVA/AT/0002- 24,15/01/2026
SEGAS S.R.L.,GRAL ACHA 983 NORTE,San Juan,San Juan,San Juan,0264-4216593,HIT- PEC- 0810044,13/12/2024
ENRIQUE CARLOS OLGUIN (CERVANTES SAN JUAN),AV. LIBERTADOR SAN,San Juan,San Juan,San Juan,"(0264) 4200305 Y
4222986",LCG-957,27/05/2026
GNC NICOGAS S.R.L.,EJERCITO,San,San,San Luis ,0266-4442020,HIT-,27/02/2026
ZAMA INGENIERIA DE R. VON EUW ,PASAJE,San,San,San Luis ,0266-4430720,HIT-,01/07/2025
ZAMA,AV. 25 DE,San,Villa,Villa Mercedes ,0261-446-0930,HIT-,01/07/2025
RG- INYECCION S.R.L.,TUCUMAN 573,San ,"Villa
Mercedes","Villa
Mercedes",(02657)15632905/425607/424420,HIT- PEC-,16/09/2025
MOCCIARO GNC DE,AV. SAN,Santa,Granadero,Granadero Baigorria ,0341-4713388,HIT-,30/08/2025
QUART INDUSTRIAL DE MAURICIO ROMÁ?N,PAROISSIEN,Santa,Rosario,Rosario,"3,416,060,043",HIT-,24/07/2025
DIVIANI GNC S.A.,BV SEGUÍ,Santa,Rosario,Rosario,03414590305,LCG-573,04/11/2024
DAVID LEON S.A.,JOSE,Santa,Rosario,Rosario,0341-4305170/4734,LCG-717,17/07/2025
"AIV DE ABALOS,",RIOJA 4324,Santa,Rosario,Rosario,0341-4357462,HIT-,05/09/2025
ECOLOGY GNC DE BARRIONUEVO,CARRIEGO,Santa,Rosario,Rosario,"3,414,304,207",HIT-,04/04/2025
ROSARIO SUR GNC S.R.L.,REGIMIENTO,Santa,Rosario,Rosario,(0341) 466 6564,HIT-,18/01/2025
BORA GNC S.R.L. ,BAHIA,Santa,Rosario,Rosario,0341-4307613/,HIT-,02/06/2026
GAS EQUIPMENT GROUP,BV. 27 DE,Santa,Rosario,Rosario,0341-4855871/39,DC-G-,30/06/2025
DANIEL MARIO DIVIANI,AV. EVA,Santa,Rosario,Rosario,0341-,BVA/AT/0286-,15/09/2025
VAYM S.A.  ,AV. SAN,Santa,Rosario,Rosario,0341-481-4359,BVA/AT/0005-,15/01/2026
HAUS S.A.  ,AV.,Santa,Rosario,Rosario,0341-433-5930 / 434-,DC-G-,23/05/2026
PETROLERA ITALO ARG. S.R.L.,AV. OVIDIO,Santa,Rosario,Rosario,0341-568-0285,QC GAS,24/01/2025
NEW FULL S.R.L. ,SAN JUAN,Santa,Rosario,Rosario,(0341)-(470-6453/438-,HIT-,05/04/2026
TERRA DE GAROFALO FEDERICO,DIAGONAL,Santa,Santa,Santa Fe ,"3,424,882,638",HIT-,17/12/2025
ING. F. KROMMEL Y ASOC. S.A.,AV.,Santa,Santa,Santa Fe ,0342-,HIT-,31/05/2026
GNC SANTA FE S.A. ,ALFONSO,Santa,Santa,Santa Fe ,0342-4525910,BVA/AT/0003-,15/01/2026
ECOLOGICAL ENERGY S.R.L.,"GRAL.
PEÁJ-ALOZA",Santa ,Santa Fe,Santa Fe,0342-4840236,HIT- PEC-,02/10/2025
RICARDO JAIME MOLTO,URUGUAY,Santa,Venado,Venado Tuerto ,03462-422443,HIT-,16/09/2024
INGENIERIA TOTAL S.R.L. ,CHACO,Santa,Venado,Venado Tuerto ,03462-433214,QC GAS,19/05/2026
SERENA GUSTAVO BERNARDO,HIPOLITO YRIGOYEN 775,Santiago ,Santiago del Estero,Santiago del Estero,0385-4240322,73918,31/05/2026
CAMPOS GNC SRL,VIAMONTE 867,Santiago ,Santiago del Estero,Santiago del Estero,03854218867,HIT- PEC- 0810089,10/11/2025
SUC. DE CARLOS A. ESCONTRELA S.R.L,AV.,Santiago,Santiago,Santiago del Estero Santiago del Estero,0385-4214543 Y,HIT-,06/06/2025
LA CASA DEL GNC COCRIS S.R.L. (PAVELKA GNC) GASTECH S.A.,AV. SAENZ PENA 789,Santiago ,Santiago del Estero,Santiago del Estero,0385-4210113,HIT- PEC- 0810048,21/02/2025
COCRIS S.R.L. (PAVELKA GNC),ARISTOBULO DEL VALLE 1294,Tucumán,Aguilares,Aguilares,03865-15562259,HIT- PEC- 0810118,19/07/2025
GASTECH S.A. ,STA. FE 1708,Tucumán,"San
Miguel de","San Miguel
de Tucumán (Est. Tucumán)",0381-432-6828,BVA/AT/0287- 23,15/09/2025
"PEC ROSELLO DE
CARBAJAL NORMA GRACIELA",AV.,Tucumán,San,"San Miguel
de Tucumán (Est. Tucumán)",0381-428-1978,DC-G-,18/06/2026
RAUL GURAIIB DIST. GNC S.R.L. ,AV. BELGRANO 2002,Tucumán,San Miguel de Tucumán (Est.,"San Miguel
de Tucumán (Est. Tucumán)",0381-4325921,HIT- PEC- 0810085,10/08/2025
BRUNELLA OSVALDO DANIEL,LA PLATA,Tucumán,San,"San Miguel
de Tucumán (Est. Tucumán)",(0381) 436-,LCG-986,26/06/2026
BRUNELLA CARLOS ROBERTO ,AV. ACONQUIJA 340,Tucumán,Yerba Buena - Marcos Paz,Yerba Buena - Marcos Paz,"3,814,353,845",LCG-671,20/04/2025
